key,citation,doi,url
rfb_centis,"Receita Federal do Brasil (2026). Distribuição de Renda por Centis — estudo ampliado 2017 a 2024.",,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda
rfb_wealth,"Receita Federal do Brasil (2026). Distribuição dos Bens e Direitos por Centis, 2006 a 2021.",,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda
ibge_ipca,"Instituto Brasileiro de Geografia e Estatística (2026). Índice Nacional de Preços ao Consumidor Amplo (IPCA), tabela SIDRA 1737.",,https://sidra.ibge.gov.br/tabela/1737
atkinson1970,"Atkinson, A. B. (1970). On the Measurement of Inequality. Journal of Economic Theory, 2(3), 244–263.",10.1016/0022-0531(70)90039-6,
theil1967,"Theil, H. (1967). Economics and Information Theory. Amsterdam: North-Holland.",,
gastwirth1972,"Gastwirth, J. L. (1972). The Estimation of the Lorenz Curve and Gini Index. The Review of Economics and Statistics, 54(3), 306–316.",10.2307/1937992,
wolfson1994,"Wolfson, M. C. (1994). When Inequalities Diverge. The American Economic Review, 84(2), 353–358.",,
esteban_ray1994,"Esteban, J.-M. & Ray, D. (1994). On the Measurement of Polarization. Econometrica, 62(4), 819–851.",10.2307/2951734,
palma2011,"Palma, J. G. (2011). Homogeneous Middles vs. Heterogeneous Tails, and the End of the 'Inverted-U'. Development and Change, 42(1), 87–153.",10.1111/j.1467-7660.2011.01694.x,
cowell2011,"Cowell, F. A. (2011). Measuring Inequality. 3ª ed. Oxford: Oxford University Press.",,
blanchet_fournier_piketty2022,"Blanchet, T., Fournier, J. & Piketty, T. (2022). Generalized Pareto Curves: Theory and Applications. Review of Income and Wealth, 68(1), 263–288.",10.1111/roiw.12510,
wid_dina2024,"Blanchet, T., Chancel, L., Flores, I. & Morgan, M. (2024). Distributional National Accounts Guidelines. World Inequality Lab.",,https://wid.world/methodology/
medeiros_souza_castro2015,"Medeiros, M., Souza, P. H. G. F. & Castro, F. A. (2015). O Topo da Distribuição de Renda no Brasil. Dados, 58(1), 7–36.",10.1590/00115258201537,
souza2018,"Souza, P. H. G. F. (2018). Uma História de Desigualdade: A Concentração de Renda entre os Ricos no Brasil, 1926–2013. São Paulo: Hucitec.",,
morgan2017,"Morgan, M. (2017). Extreme and Persistent Inequality: New Evidence for Brazil. WID.world Working Paper 2017/12.",,https://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/
gobetti_orair2017,"Gobetti, S. W. & Orair, R. O. (2017). Taxation and Distribution of Income in Brazil: New Evidence from Personal Income Tax Data. Brazilian Journal of Political Economy, 37(2), 267–286.",10.1590/0101-31572017v37n02a01,
