source_id,dataset_family,year,label,extension,layout,page_url,url_view,download_url,file_name
receita_expanded-fb2f407e9d63df53,receita_expanded,2017,"Capa, Metodologia e Metadados - Centis - 2017 a 2022.pdf",pdf,metadata,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2017,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2017/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2017/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/@@download/file,capa-metodologia-e-metadados-centis-2017-a-2022.pdf
receita_expanded-ead8bd30f861afbe,receita_expanded,2017,Distribuição de Renda por Centis 2017.xlsx,xlsx,expanded_monolithic,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2017,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2017/distribuicao-de-renda-por-centis-2017.xlsx/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2017/distribuicao-de-renda-por-centis-2017.xlsx/@@download/file,distribuicao-de-renda-por-centis-2017.xlsx
receita_expanded-8bbb713558093f9d,receita_expanded,2018,"Capa, Metodologia e Metadados - Centis - 2017 a 2022.pdf",pdf,metadata,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2018,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2018/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2018/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/@@download/file,capa-metodologia-e-metadados-centis-2017-a-2022.pdf
receita_expanded-6000df26634c7792,receita_expanded,2018,Distribuição de Renda por Centis 2018.xlsx,xlsx,expanded_monolithic,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2018,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2018/distribuicao-de-renda-por-centis-2018.xlsx/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2018/distribuicao-de-renda-por-centis-2018.xlsx/@@download/file,distribuicao-de-renda-por-centis-2018.xlsx
receita_expanded-880c7182dab00f2f,receita_expanded,2019,"Capa, Metodologia e Metadados - Centis - 2017 a 2022.pdf",pdf,metadata,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2019,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2019/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2019/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/@@download/file,capa-metodologia-e-metadados-centis-2017-a-2022.pdf
receita_expanded-4b515bc9e9a91292,receita_expanded,2019,Distribuição de Renda por Centis 2019.xlsx,xlsx,expanded_monolithic,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2019,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2019/distribuicao-de-renda-por-centis-2019.xlsx/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2019/distribuicao-de-renda-por-centis-2019.xlsx/@@download/file,distribuicao-de-renda-por-centis-2019.xlsx
receita_expanded-86f9f8485423e2e7,receita_expanded,2020,"Capa, Metodologia e Metadados - Centis - 2017 a 2022.pdf",pdf,metadata,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2020,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2020/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2020/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/@@download/file,capa-metodologia-e-metadados-centis-2017-a-2022.pdf
receita_expanded-1369dc8f7f99faf2,receita_expanded,2020,Distribuição de Renda por Centis 2020.xlsx,xlsx,expanded_monolithic,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2020,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2020/distribuicao-de-renda-por-centis-2020.xlsx/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2020/distribuicao-de-renda-por-centis-2020.xlsx/@@download/file,distribuicao-de-renda-por-centis-2020.xlsx
receita_expanded-5e9c16eb86be0da5,receita_expanded,2021,"Capa, Metodologia e Metadados - Centis - 2017 a 2022.pdf",pdf,metadata,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2021,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2021/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2021/capa-metodologia-e-metadados-centis-2017-a-2022.pdf/@@download/file,capa-metodologia-e-metadados-centis-2017-a-2022.pdf
receita_expanded-8899cd76929c5959,receita_expanded,2021,Distribuição de Renda por Centis 2021.xlsx,xlsx,expanded_monolithic,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2021,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2021/distribuicao-de-renda-por-centis-2021.xlsx/view,https://www.gov.br/receitafederal/pt-br/centrais-de-conteudo/publicacoes/estudos/distribuicao-da-renda/distribuicao-de-renda-por-centis-estudo-ampliado-2017-a-2023/2021/distribuicao-de-renda-por-centis-2021.xlsx/@@download/file,distribuicao-de-renda-por-centis-2021.xlsx
